species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Hs	DEFA1	Paneth cells	HNP-1|DEF1|DEFA2	0.0	defensin alpha 1	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0	0.0
Hs	DEFA6	Paneth cells	HD-6|DEF6	0.0	defensin alpha 6	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0	0.0
Mm Hs	CSF2	Paneth cells	GM-CSF|GMCSF	0.002	colony stimulating factor 2	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0093985	0.000773944
Hs	LYZ	Paneth cells	NA	0.008	lysozyme	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0407268	0.0
Mm Hs	PLA2G2A	Paneth cells	PLA2B	0.009	phospholipase A2 group IIA	protein-coding gene	1	Endoderm	GI tract	0.0	0.675	0.0247494	0.00225734
Mm Hs	PRSS1	Paneth cells	TRY1	0.002	serine protease 1	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.00971178	0.000128991
Mm Hs	GUCA2B	Paneth cells	NA	0.019	guanylate cyclase activator 2B	protein-coding gene	1	Endoderm	GI tract	0.0	0.8625	0.00783208	0.0176717
Mm	LYZ1	Paneth cells	NA	0.031	lysozyme 1	protein coding gene	1	Endoderm	GI tract	0.0	0.9375	0.0	0.0332796
Mm	REG3B	Paneth cells	NA	0.013	regenerating islet-derived 3 beta	protein coding gene	1	Endoderm	GI tract	NA	NA	NA	NA
Mm Hs	MUC2	Paneth cells	NA	0.007	mucin 2, oligomeric mucus/gel-forming	protein-coding gene	1	Endoderm	GI tract	0.0	0.6375	0.00595238	0.0041277
Mm Hs	CLCA1	Paneth cells	CaCC|CLCRG1	0.003	chloride channel accessory 1	protein-coding gene	NA	Endoderm	GI tract	0.0	0.1375	0.00219298	0.00264431
Mm Hs	GUCA2A	Paneth cells	STARA|GUCA2	0.015	guanylate cyclase activator 2A	protein-coding gene	1	Endoderm	GI tract	0.0	0.725	0.0162907	0.0117381
Mm Hs	REG3G	Paneth cells	UNQ429|LPPM429|PAP1B	0.017	regenerating family member 3 gamma	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.00219298	0.0
Mm Hs	ITLN1	Paneth cells	ITLN|FLJ20022|LFR|HL-1|hIntL	0.009	intelectin 1	protein-coding gene	1	Endoderm	GI tract	0.0	0.875	0.00595238	0.00580458
Mm Hs	RETNLB	Paneth cells	HXCP2|FIZZ2|RELMb	0.003	resistin like beta	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00219298	0.0
Mm	ANG4	Paneth cells	NA	0.005	angiogenin, ribonuclease A family, member 4	protein coding gene	1	Endoderm	GI tract	0.0	0.7125	0.0	0.00238633
Mm Hs	GPX2	Paneth cells	GSHPX-GI	0.04	glutathione peroxidase 2	protein-coding gene	1	Endoderm	GI tract	0.0	0.7375	0.0479323	0.0343115
Mm Hs	LGALS2	Paneth cells	HL14	0.032	galectin 2	protein-coding gene	NA	Endoderm	GI tract	0.0	0.8625	0.0379073	0.0265076
Mm Hs	SPINK4	Paneth cells	PEC-60|MGC133107	0.014	serine peptidase inhibitor, Kazal type 4	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00626566	0.0
Mm Hs	FABP4	Paneth cells	A-FABP|aP2	0.028	fatty acid binding protein 4	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0103383	0.0334086
Mm Hs	CFD	Paneth cells	ADN|DF|PFD	0.018	complement factor D	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0986842	0.00116092
Mm Hs	ADIPOQ	Paneth cells	ACRP30|AdipoQ|apM1|GBP28|adiponectin|ACDC	0.004	adiponectin, C1Q and collagen domain containing	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0	0.00457917
Mm Hs	PNLIPRP2	Paneth cells	PLRP2	0.003	pancreatic lipase related protein 2 (gene/pseudogene)	protein-coding gene	1	Endoderm	GI tract	0.0	0.3125	0.00156642	0.00180587
Mm Hs	DMBT1	Paneth cells	GP340|muclin|SALSA|Gp-340|hensin|vomeroglandin	0.01	deleted in malignant brain tumors 1	protein-coding gene	1	Endoderm	GI tract	0.0	0.2375	0.00281955	0.00986778
Mm Hs	NOD2	Paneth cells	BLAU|PSORAS1|CLR16.3|NLRC2|IBD1|CARD15	0.0	nucleotide binding oligomerization domain containing 2	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0	0.000128991
Mm Hs	LGR4	Paneth cells	GPR48	0.017	leucine rich repeat containing G protein-coupled receptor 4	protein-coding gene	1	Endoderm	GI tract	0.0	0.0375	0.0128446	0.0168978
Mm Hs	RIPK2	Paneth cells	RICK|CARDIAK|CARD3	0.004	receptor interacting serine/threonine kinase 2	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0140977	0.0
Mm Hs	TLR5	Paneth cells	TIL3|MGC126430|MGC126431|SLEB1	0.0	toll like receptor 5	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0	0.0
Mm Hs	WNT3	Paneth cells	MGC131950|MGC138321|MGC138323	0.003	Wnt family member 3	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.000626566	0.0
Mm Hs	KCNN4	Paneth cells	KCa3.1|hSK4|hKCa4|hIKCa1|IK	0.027	potassium calcium-activated channel subfamily N member 4	protein-coding gene	1	Endoderm	GI tract	0.0	0.125	0.0100251	0.0288939
Mm Hs	RAP1A	Paneth cells	KREV-1|SMGP21	0.314	RAP1A, member of RAS oncogene family	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.170426	0.0
Mm Hs	ATG16L1	Paneth cells	WDR30|FLJ10035|ATG16A|APG16L|ATG16L	0.003	autophagy related 16 like 1	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.000626566	0.00309578
Mm Hs	WNT9B	Paneth cells	WNT14B|WNT15	0.0	Wnt family member 9B	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0	0.0
Mm Hs	DLL4	Paneth cells	NA	0.007	delta like canonical Notch ligand 4	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.00281955	0.00780393
Hs	IL4R	Paneth cells	CD124	0.002	interleukin 4 receptor	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0103383	0.0
Mm	IL4RA	Paneth cells	NA	0.013	interleukin 4 receptor, alpha	protein coding gene	1	Endoderm	GI tract	0.0	0.025	0.0	0.0168333
Mm Hs	TLR9	Paneth cells	CD289	0.0	toll like receptor 9	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.0	0.0
Mm Hs	CTNNB1	Paneth cells	beta-catenin|armadillo|CTNNB	0.052	catenin beta 1	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.212406	0.0114802
Mm Hs	DLL1	Paneth cells	NA	0.003	delta like canonical Notch ligand 1	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.00501253	0.00264431
Mm Hs	TM4SF20	Paneth cells	FLJ22800|TCCE518	0.019	transmembrane 4 L six family member 20	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.00313283	0.0
Mm	DEFA23	Paneth cells	NA	0.003	defensin, alpha, 23	protein coding gene	1	Endoderm	GI tract	0.0	0.575	0.0	0.0013544
Mm Hs	DEFA3	Paneth cells	HNP-3	0.002	defensin alpha 3	protein-coding gene	1	Endoderm	GI tract	0.0	0.4	0.0	0.000838439
Mm	DEFA26	Paneth cells	NA	0.003	defensin, alpha, 26	protein coding gene	NA	Endoderm	GI tract	0.0	0.55	0.0	0.000773944
Mm	DEFA17	Paneth cells	NA	0.007	defensin, alpha, 17	protein coding gene	1	Endoderm	GI tract	0.0	0.9	0.0	0.00386972
Mm	MPTX2	Paneth cells	NA	0.003	mucosal pentraxin 2	protein coding gene	1	Endoderm	GI tract	0.0	0.5125	0.0	0.0014189
Mm	DEFA21	Paneth cells	NA	0.007	defensin, alpha, 21	protein coding gene	1	Endoderm	GI tract	0.0	0.7125	0.0	0.00561109
Mm	DEFA22	Paneth cells	NA	0.007	defensin, alpha, 22	protein coding gene	1	Endoderm	GI tract	0.0	0.675	0.0	0.00522412
Mm	DEFA24	Paneth cells	NA	0.017	defensin, alpha, 24	protein coding gene	1	Endoderm	GI tract	0.0	1.0	0.0	0.0168333
Mm Hs	MPTX1	Paneth cells	NA	0.001	mucosal pentraxin 1 (pseudogene)	pseudogene	1	Endoderm	GI tract	0.0	0.025	0.0	0.00096743
Mm Hs	KLF15	Paneth cells	KKLF	0.001	Kruppel like factor 15	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.000313283	0.00167688
Mm	DEFA20	Paneth cells	NA	0.0	defensin, alpha, 20	protein coding gene	1	Endoderm	GI tract	0.0	0.1	0.0	0.0
Mm Hs	KL	Parathyroid chief cells	NA	0.004	klotho	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	1.0	0.0	0.00455654
Mm Hs	CASR	Parathyroid chief cells	FHH|NSHPT|GPRC2A|HHC|HHC1	0.001	calcium sensing receptor	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	0.333333	0.00219298	0.000449236
Mm Hs	VDR	Parathyroid chief cells	NR1I1|PPP1R163	0.011	vitamin D receptor	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	0.0	0.00250627	0.0
Mm Hs	FGFR1	Parathyroid chief cells	CEK|FLG|BFGFR|N-SAM|CD331|FLT2|KAL2	0.072	fibroblast growth factor receptor 1	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	0.0	0.0588972	0.0732897
Mm Hs	CYP27B1	Parathyroid chief cells	P450c1|VDD1|PDDR	0.0	cytochrome P450 family 27 subfamily B member 1	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	0.0	0.0	0.0
Mm Hs	LRP2	Parathyroid chief cells	gp330	0.01	LDL receptor related protein 2	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	0.333333	0.0056391	0.0114234
Mm Hs	PTH	Parathyroid chief cells	NA	0.0	parathyroid hormone	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	1.0	0.0	0.000256706
Mm Hs	RAB3A	Parathyroid chief cells	NA	0.179	RAB3A, member RAS oncogene family	protein-coding gene	1	Endoderm	Parathyroid glands	0.0	0.0	0.0131579	0.0
Hs	CD24	Parietal cells	CD24A	0.039	CD24 molecule	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.192043	0.0
Mm Hs	PODXL	Parietal cells	PCLP|Gp200|PC	0.04	podocalyxin like	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.0410401	0.0397818
Mm Hs	KCNQ1	Parietal cells	Kv7.1|KCNA8|KVLQT1|JLNS1|LQT1|LQT|KCNA9	0.004	potassium voltage-gated channel subfamily Q member 1	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00093985	0.00532563
Mm Hs	PTCH1	Parietal cells	BCNS|NBCCS|PTCH	0.012	patched 1	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.0191103	0.0110363
Mm Hs	SHH	Parietal cells	HHG1|SMMCI|TPTPS|MCOPCB5|HPE3	0.001	sonic hedgehog	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.000313283	0.0
Mm Hs	HIP1R	Parietal cells	KIAA0655|HIP3|HIP12|FLJ14000	0.007	huntingtin interacting protein 1 related	protein-coding gene	1	Endoderm	GI tract	0.0	0.0	0.000626566	0.00814886
Mm Hs	HAMP	Parietal cells	LEAP-1|HEPC|HFE2B|LEAP1	0.002	hepcidin antimicrobial peptide	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00407268	0.00230991
Mm Hs	KCNE2	Parietal cells	MiRP1|LQT6	0.002	potassium voltage-gated channel subfamily E regulatory subunit 2	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00281955	0.00211742
Mm Hs	HDC	Parietal cells	NA	0.019	histidine decarboxylase	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00156642	0.0228425
Mm Hs	ASAP3	Parietal cells	FLJ20199|UPLC1|CENTB6|DDEFL1	0.0	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.000313283	0.000192493
Mm Hs	SLC12A6	Parietal cells	KCC3|ACCPN	0.005	solute carrier family 12 member 6	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00626566	0.0
Mm Hs	AQP4	Parietal cells	MIWC	0.024	aquaporin 4	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00595238	0.0293872
Mm Hs	ATP4B	Parietal cells	ATP6B	0.0	ATPase H+/K+ transporting subunit beta	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.0	6.41643e-05
Mm Hs	BMI1	Parietal cells	RNF51|PCGF4	0.009	BMI1 proto-oncogene, polycomb ring finger	protein-coding gene	NA	Endoderm	GI tract	0.0	0.0	0.00532581	0.00930382
Mm Hs	MPZ	Peri-islet Schwann cells	HMSNIB|CMT2I|CMT2J|CMT1|CMT1B	0.002	myelin protein zero	protein-coding gene	NA	Endoderm	Pancreas	1.0	0.6	0.00188029	0.00141252
Mm Hs	EGFL8	Peri-islet Schwann cells	NG3|C6orf8	0.003	EGF like domain multiple 8	protein-coding gene	NA	Endoderm	Pancreas	0.0	1.0	0.0	0.00256822
Mm Hs	GFRA1	Peri-islet Schwann cells	RETL1|GDNFR|GFR-ALPHA-1|RET1L|TRNR1|GDNFRA	0.005	GDNF family receptor alpha 1	protein-coding gene	NA	Endoderm	Pancreas	0.0	0.6	0.00282043	0.00372392
Mm Hs	OLFML2A	Peri-islet Schwann cells	FLJ00237	0.003	olfactomedin like 2A	protein-coding gene	NA	Endoderm	Pancreas	1.0	0.5	0.0050141	0.0023114
Mm Hs	GULP1	Peri-islet Schwann cells	CED6|CED-6|GULP	0.01	GULP, engulfment adaptor PTB domain containing 1	protein-coding gene	NA	Endoderm	Pancreas	1.0	0.9	0.0294579	0.00404494
Mm Hs	SLITRK6	Peri-islet Schwann cells	FLJ22774	0.003	SLIT and NTRK like family member 6	protein-coding gene	NA	Endoderm	Pancreas	0.0	0.0	0.00156691	0.0
Mm Hs	VGLL3	Peri-islet Schwann cells	VGL-3	0.009	vestigial like family member 3	protein-coding gene	NA	Endoderm	Pancreas	0.0	0.0	0.0194296	0.0
Mm Hs	GFRA3	Peri-islet Schwann cells	GFRa-3	0.005	GDNF family receptor alpha 3	protein-coding gene	1	Endoderm	Pancreas	1.0	1.0	0.00219367	0.00494382
Mm Hs	INSC	Peri-islet Schwann cells	NA	0.005	INSC, spindle orientation adaptor protein	protein-coding gene	NA	Endoderm	Pancreas	1.0	0.5	0.00125353	0.00603531
Mm Hs	SLITRK2	Peri-islet Schwann cells	KIAA1854|SLITL1|TMEM257|CXorf1	0.006	SLIT and NTRK like family member 2	protein-coding gene	NA	Endoderm	Pancreas	1.0	0.0	0.00125353	0.0
Mm Hs	FIGN	Peri-islet Schwann cells	NA	0.007	fidgetin, microtubule severing factor	protein-coding gene	NA	Endoderm	Pancreas	1.0	1.0	0.00376058	0.0059069
Mm Hs	LRRTM1	Peri-islet Schwann cells	FLJ32082	0.005	leucine rich repeat transmembrane neuronal 1	protein-coding gene	NA	Endoderm	Pancreas	0.0	0.3	0.00156691	0.00629213
Mm Hs	SEMA3B	Peri-islet Schwann cells	SemA|semaV|LUCA-1|sema5|SEMAA	0.009	semaphorin 3B	protein-coding gene	NA	Endoderm	Pancreas	1.0	0.0	0.0175494	0.0
Mm Hs	NGFR	Peri-islet Schwann cells	TNFRSF16|CD271|p75NTR	0.007	nerve growth factor receptor	protein-coding gene	NA	Endoderm	Pancreas	1.0	1.0	0.00188029	0.00680578
Mm Hs	PNLIPRP1	Peri-islet Schwann cells	PLRP1	0.008	pancreatic lipase related protein 1	protein-coding gene	NA	Endoderm	Pancreas	0.0	0.2	0.00188029	0.00930979
Mm Hs	GFRA2	Peri-islet Schwann cells	RETL2|GDNFRB|NTNRA|TRNR2	0.008	GDNF family receptor alpha 2	protein-coding gene	NA	Endoderm	Pancreas	0.0	0.5	0.00438734	0.0094382
Mm Hs	PECAM1	Pericytes	CD31	0.051	platelet and endothelial cell adhesion molecule 1	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0289256	0.04427	0.0539008
Mm Hs	PDGFRB	Pericytes	JTK12|CD140b|PDGFR1|PDGFR	0.033	platelet derived growth factor receptor beta	protein-coding gene	1	Mesoderm	Vasculature	1.0	0.966942	0.0342229	0.0187056
Mm Hs	CSPG4	Pericytes	MCSPG|MEL-CSPG|HMW-MAA	0.015	chondroitin sulfate proteoglycan 4	protein-coding gene	1	Mesoderm	Vasculature	0.285714	0.586777	0.0	0.0102327
Mm Hs	ANPEP	Pericytes	gp150|CD13|PEPN	0.015	alanyl aminopeptidase, membrane	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0123967	0.0128728	0.0169458
Mm Hs	ACTA2	Pericytes	ACTSA	0.035	actin, alpha 2, smooth muscle, aorta	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.173554	0.0194662	0.0367594
Mm Hs	DES	Pericytes	CMD1I|CSM1|CSM2	0.021	desmin	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.214876	0.00941915	0.0202698
Mm Hs	RGS5	Pericytes	NA	0.043	regulator of G protein signaling 5	protein-coding gene	1	Mesoderm	Vasculature	NA	NA	NA	NA
Mm Hs	ABCC9	Pericytes	SUR2|CMD1O	0.016	ATP binding cassette subfamily C member 9	protein-coding gene	1	Mesoderm	Vasculature	0.285714	0.818182	0.000627943	0.00736492
Mm Hs	KCNJ8	Pericytes	Kir6.1	0.017	potassium voltage-gated channel subfamily J member 8	protein-coding gene	1	Mesoderm	Vasculature	0.428571	0.85124	0.000941915	0.00723457
Mm Hs	CD248	Pericytes	TEM1|CD164L1	0.022	CD248 molecule	protein-coding gene	1	Mesoderm	Vasculature	0.285714	0.652893	0.0138148	0.0141433
Mm Hs	DLK1	Pericytes	FA1|pG2|Pref-1|ZOG|Delta1	0.055	delta like non-canonical Notch ligand 1	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.623967	0.0461538	0.0490778
Mm Hs	TEK	Pericytes	TIE2|TIE-2|VMCM1|CD202b|VMCM	0.02	TEK receptor tyrosine kinase	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0	0.00188383	0.0
Mm Hs	NOTCH3	Pericytes	CASIL|CADASIL	0.02	notch 3	protein-coding gene	1	Mesoderm	Vasculature	0.857143	0.826446	0.0125589	0.00938539
Mm Hs	GLI1	Pericytes	GLI	0.0	GLI family zinc finger 1	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0	0.0	0.000195529
Mm Hs	ICAM1	Pericytes	CD54	0.009	intercellular adhesion molecule 1	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0	0.00596546	0.0101675
Mm Hs	ADM	Pericytes	AM	0.026	adrenomedullin	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.00413223	0.0637363	0.0179235
Mm	ANG2	Pericytes	NA	0.0	angiogenin, ribonuclease A family, member 2	protein coding gene	NA	Mesoderm	Vasculature	0.0	0.0	0.0	0.000456234
Mm Hs	ANGPT1	Pericytes	KIAA0003|Ang1	0.01	angiopoietin 1	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.00413223	0.00188383	0.0125138
Mm Hs	VEGFA	Pericytes	VEGF-A|VPF|VEGF	0.021	vascular endothelial growth factor A	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0	0.0248038	0.0
Mm Hs	ZIC1	Pericytes	ZIC|ZNF201	0.046	Zic family member 1	protein-coding gene	1	Mesoderm	Vasculature	0.285714	0.0	0.00784929	0.0
Mm Hs	FOXC1	Pericytes	FREAC3|IGDA|IHG1|FKHL7|IRID1	0.015	forkhead box C1	protein-coding gene	NA	Mesoderm	Vasculature	0.142857	0.0991736	0.00690738	0.0155771
Mm Hs	POSTN	Pericytes	OSF-2|PN|periostin	0.033	periostin	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.132231	0.0232339	0.0331747
Mm Hs	COX4I2	Pericytes	COXIV-2|COX4B|dJ857M17.2|COX4-2|COX4L2	0.018	cytochrome c oxidase subunit 4I2	protein-coding gene	NA	Mesoderm	Vasculature	0.571429	0.913223	0.00596546	0.00723457
Mm	LHFP	Pericytes	NA	0.056	lipoma HMGIC fusion partner	protein coding gene	NA	Mesoderm	Vasculature	0.0	0.896694	0.0	0.0563123
Mm Hs	HIGD1B	Pericytes	CLST11240|CLST11240-15	0.021	HIG1 hypoxia inducible domain family member 1B	protein-coding gene	1	Mesoderm	Vasculature	1.0	0.938017	0.00376766	0.0109496
Mm Hs	PDZD2	Pericytes	KIAA0300|PDZK3	0.021	PDZ domain containing 2	protein-coding gene	NA	Mesoderm	Vasculature	0.285714	0.615702	0.0131868	0.0145343
Mm Hs	HSD11B1	Pericytes	SDR26C1|HSD11B|HSD11	0.022	hydroxysteroid 11-beta dehydrogenase 1	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0247934	0.00973312	0.0245063
Mm Hs	MCAM	Pericytes	MUC18|CD146	0.031	melanoma cell adhesion molecule	protein-coding gene	1	Mesoderm	Vasculature	0.714286	0.673554	0.0197802	0.0235938
Mm Hs	MXRA8	Pericytes	DKFZp586E2023	0.043	matrix remodeling associated 8	protein-coding gene	NA	Mesoderm	Vasculature	0.142857	0.0867769	0.0376766	0.0427557
Mm Hs	PDE5A	Pericytes	NA	0.011	phosphodiesterase 5A	protein-coding gene	NA	Mesoderm	Vasculature	0.142857	0.392562	0.00376766	0.00762563
Mm Hs	NR1H3	Pericytes	LXR-a|RLD-1|LXRa	0.008	nuclear receptor subfamily 1 group H member 3	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0495868	0.00973312	0.00690869
Mm Hs	SERPING1	Pericytes	C1IN|C1-INH|HAE1|HAE2|C1NH	0.066	serpin family G member 1	protein-coding gene	NA	Mesoderm	Vasculature	0.428571	0.0	0.0985871	0.0
Mm Hs	EMID1	Pericytes	EMU1|hEmu1|EMI5	0.018	EMI domain containing 1	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0743802	0.00596546	0.0204002
Mm Hs	ECM1	Pericytes	NA	0.034	extracellular matrix protein 1	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0495868	0.00941915	0.0402138
Mm Hs	COLEC11	Pericytes	MGC3279|CL-K1	0.002	collectin subfamily member 11	protein-coding gene	1	Mesoderm	Vasculature	0.285714	0.0454545	0.00627944	0.000260705
Mm Hs	RARRES2	Pericytes	TIG2|HP10433	0.03	retinoic acid receptor responder 2	protein-coding gene	NA	Mesoderm	Vasculature	0.142857	0.0	0.0784929	0.0
Mm Hs	REM1	Pericytes	GES|REM	0.001	RRAD and GEM like GTPase 1	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0	0.000313972	0.0
Mm Hs	ASPN	Pericytes	FLJ20129|SLRR1C|PLAP-1	0.019	asporin	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.268595	0.00722135	0.0179235
Mm Hs	CYGB	Pericytes	HGB|STAP	0.038	cytoglobin	protein-coding gene	NA	Mesoderm	Vasculature	0.142857	0.136364	0.021664	0.0418432
Mm Hs	FABP4	Pericytes	A-FABP|aP2	0.028	fatty acid binding protein 4	protein-coding gene	NA	Mesoderm	Vasculature	0.142857	0.0867769	0.0100471	0.0323926
Mm Hs	VTN	Pericytes	VN	0.029	vitronectin	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0	0.00973312	0.0
Mm Hs	STEAP4	Pericytes	FLJ23153|TIARP|STAMP2|SchLAH|TNFAIP9	0.007	STEAP4 metalloreductase	protein-coding gene	1	Mesoderm	Vasculature	0.142857	0.0	0.00565149	0.0
Mm Hs	NDUFA4L2	Pericytes	NUOMS|FLJ26118	0.031	NDUFA4, mitochondrial complex associated like 2	protein-coding gene	NA	Mesoderm	Vasculature	1.0	0.942149	0.0213501	0.0175324
Mm Hs	SLC38A11	Pericytes	FLJ39822|AVT2	0.003	solute carrier family 38 member 11	protein-coding gene	NA	Mesoderm	Vasculature	0.285714	0.0	0.000627943	0.0
Mm Hs	ATP13A5	Pericytes	FLJ16025	0.006	ATPase 13A5	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.359504	0.000313972	0.00195529
Mm Hs	AOC3	Pericytes	VAP1|HPAO|VAP-1	0.004	amine oxidase, copper containing 3	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0413223	0.00282575	0.0038454
Mm Hs	ANGPT2	Pericytes	Ang2	0.004	angiopoietin 2	protein-coding gene	1	Mesoderm	Vasculature	0.428571	0.0206612	0.0150706	0.00156423
Mm Hs	INPP4B	Pericytes	NA	0.01	inositol polyphosphate-4-phosphatase type II B	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.103306	0.0150706	0.00716939
Mm Hs	GPIHBP1	Pericytes	LOC338328|GPI-HBP1	0.017	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	protein-coding gene	NA	Mesoderm	Vasculature	0.0	0.0123967	0.00470958	0.0197484
Mm Hs	VIM	Pericytes	NA	0.427	vimentin	protein-coding gene	1	Mesoderm	Vasculature	0.857143	0.0	0.589953	0.0
Mm Hs	PTH1R	Pericytes	PTHR1	0.019	parathyroid hormone 1 receptor	protein-coding gene	1	Mesoderm	Vasculature	0.142857	0.152893	0.00470958	0.0213778
Mm Hs	IFITM1	Pericytes	9-27|CD225|DSPA2a|IFI17	0.059	interferon induced transmembrane protein 1	protein-coding gene	1	Mesoderm	Vasculature	0.142857	0.884298	0.0320251	0.0519455
Mm Hs	TBX18	Pericytes	NA	0.004	T-box 18	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0	0.000313972	0.0
Mm Hs	NT5E	Pericytes	CD73|eN|eNT|CALJA|NT5	0.005	5'-nucleotidase ecto	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0	0.00722135	0.00378023
Mm Hs	MFGE8	Pericytes	SED1|EDIL1|BA46|OAcGD3S|HsT19888|MFG-E8|hP47|SPAG10	0.15	milk fat globule-EGF factor 8 protein	protein-coding gene	1	Mesoderm	Vasculature	1.0	0.979339	0.078179	0.153295
Mm Hs	ALPL	Pericytes	TNSALP|TNALP|TNAP|HOPS	0.009	alkaline phosphatase, liver/bone/kidney	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0	0.00408163	0.0106889
Mm Hs	COL1A1	Pericytes	NA	0.081	collagen type I alpha 1 chain	protein-coding gene	1	Mesoderm	Vasculature	0.142857	0.0826446	0.099843	0.0731278
Mm Hs	MYO1B	Pericytes	myr1	0.05	myosin IB	protein-coding gene	1	Mesoderm	Vasculature	0.428571	0.826446	0.0298273	0.0433422
Mm Hs	COG7	Pericytes	NA	0.008	component of oligomeric golgi complex 7	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.0413223	0.000313972	0.0099068
Mm Hs	P2RY14	Pericytes	KIAA0001|GPR105	0.012	purinergic receptor P2Y14	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.483471	0.00345369	0.00677834
Mm Hs	HEYL	Pericytes	bHLHb33|HEY3|HESR3	0.013	hes related family bHLH transcription factor with YRPW motif-like	protein-coding gene	1	Mesoderm	Vasculature	0.285714	0.661157	0.00313972	0.00488822
Mm Hs	GNB4	Pericytes	NA	0.05	G protein subunit beta 4	protein-coding gene	1	Mesoderm	Vasculature	0.142857	0.690083	0.0169545	0.0477742
Mm Hs	MSX1	Pericytes	HYD1|OFC5|HOX7	0.015	msh homeobox 1	protein-coding gene	1	Mesoderm	Vasculature	0.0	0.00413223	0.0248038	0.0133611
